# XDI/1.0 Hephaestus/0.9.26
# Element.edge:                  K
# Element.symbol:                Cu
# Column.1:                      energy eV
# Column.2:                      xmu
# Column.3:                      bkg
# Column.4:                      pre_edge
# Column.5:                      post_edge
# Column.6:                      der
# Column.7:                      sec
# Column.8:                      i0
# Column.9:                      chi(e)
# Athena.e0:                     8977.97
# Athena.eshift:                 0
# Athena.rbkg:                   1
# Athena.importance:             1
# Athena.standard:               None
# Athena.bkg_kweight:            2
# Athena.edge_step:              1.5112261
# Athena.fixed_step:             no
# Athena.pre_edge_range:         -150.000 -30.000
# Athena.pre_edge_line:          4.168335 - 0.000381749 * E
# Athena.normalization_range:    100.000 1000.000
# Athena.post_edge_polynomial:   31.859671 - 0.00560643 * E + 2.57144883e-007 * E^2 + 0 * E^3
# Athena.spline_range_energy:    0.000 1234.435
# Athena.clamps:                 0 24
# Athena.spline_range_k:         0.000 18.000
# Athena.kweight:                1
# Athena.window:                 hanning
# Athena.phase_correction:       no
# Athena.k_range:                3.000 17.000
# Athena.dk:                     1
# Athena.r_range:                1 3
# Athena.dr:                     0.0
# Athena.window:                 hanning
# Athena.plot_multiplier:        1
# Athena.y_offset:               0
# ///
#------------------------
#   e         xmu        bkg        pre_edge        post_edge        der        sec        i0        chie
  8968.2650       0.76230876       0.76230876       0.74470621        2.2618513       0.15273362E-02  -0.33560042E-03    299787.00        0.0000000
  8968.7410       0.76276512       0.76276512       0.74452450        2.2613782       0.19838335E-02   0.16198789E-02    299718.00        0.0000000
  8969.2170       0.76419737       0.76419737       0.74434278        2.2609051       0.30694609E-02   0.11363457E-02    299658.00        0.0000000
  8969.6930       0.76568725       0.76568725       0.74416107        2.2604322       0.30656346E-02   0.15532827E-03    299479.00        0.0000000
  8970.1700       0.76711892       0.76711892       0.74397898        2.2599584       0.32174887E-02   0.17079939E-02    299234.00        0.0000000
  8970.6880       0.76888865       0.76888865       0.74378123        2.2594440       0.47650885E-02   0.17314246E-02    299037.00        0.0000000
  8971.1650       0.77186018       0.77186018       0.74359914        2.2589705       0.49402562E-02   0.10473795E-04    298739.00        0.0000000
  8971.6420       0.77360165       0.77360165       0.74341704        2.2584970       0.47750805E-02   0.13279894E-02    298371.00        0.0000000
  8972.1180       0.77641083       0.77641083       0.74323533        2.2580247       0.62058301E-02   0.38293119E-02    297804.00        0.0000000
  8972.5950       0.77951581       0.77951581       0.74305324        2.2575515       0.84244147E-02   0.50655486E-02    296783.00        0.0000000
  8973.0710       0.78443930       0.78443930       0.74287152        2.2570794       0.11033298E-01   0.40560054E-02    294972.00        0.0000000
  8973.5920       0.79051601       0.79051601       0.74267263        2.2565628       0.12468252E-01   0.61263027E-02    293796.00        0.0000000
  8974.0680       0.79687015       0.79687015       0.74249092        2.2560910       0.17141222E-01   0.12852333E-01    294169.00        0.0000000
  8974.5450       0.80685159       0.80685159       0.74230882        2.2556182       0.24716525E-01   0.11171276E-01    295697.00        0.0000000
  8975.0210       0.82042499       0.82042499       0.74212711        2.2551466       0.27787448E-01   0.12355398E-01    297571.00        0.0000000
  8975.4990       0.83336082       0.83336082       0.74194464        2.2546731       0.36503575E-01   0.51996961E-01    298500.00        0.0000000
  8975.9760       0.85528591       0.85528591       0.74176254        2.2542008       0.77444545E-01   0.12018906        299011.00        0.0000000
  8976.4520       0.90716547       0.90716547       0.74158083        2.2537295       0.15104375       0.13931287        299061.00        0.0000000
  8977.0160        1.0123714        1.0123714       0.74136552        2.2531713       0.22232993       0.12372190        298949.00        0.0000000
